GA Attribution Campaign,GA Attribution Channel,GA Attribution Medium,Orders Order ID,Orders User ID,Orders Placed Date,Order Products Product ID,Order Skus ID,Contacts Contact ID,Users Is User Account Created (Yes / No),Orders Net Revenue,Contacts Email Domain,Order Products Product Name,Order Products Merchandising Category,Order Products First Tier Derpartment Name,Order Products Primary Department Name,Order Products Show on Product Page Tag Names,Order Products Show on Search Page Tag Names,Order Products Is Product Active (Yes / No),Order Skus Packaging Type,GA Attribution Source,Orders Shipping Fee Amount,Orders Unique Merchandising Category Name,Orders Billed to City,Orders Billed to State Prov,Orders Billed to Country Code,Order Skus List Price,Order Skus After Discount Price,Order Skus Before Discount Price,Contacts First Subscribed Date,Contacts First Subscribed Time,Orders Placed Time,Orders Is Placed Day Holiday (Yes / No),Order Skus Discount,Orders Canceled Date,Order Skus Weight,KW Skus Data Net Weight,Order Skus Packaging Type Code,Gifting Is Gift (Yes / No),Orders Discount Fee Amount,KW Skus Data Meltable (Yes / No),Orders Total New Order Revenue,Order Skus Count of Pieces,Order Skus Gross Profit,Accrued Gross Margin,Accrued Product Cost,Shipments Total Shipping Revenue,Order Skus Total Raw Material Cost,Order Skus Total Packaging Cost,Shipments Total Heat Resistant Packaging Cost,Order Skus Total Filling Labor Cost,Accrued Direct Labor Fulfillment Cost,Accrued Direct Labor Support Cost,Accrued Direct Labor Others Cost,Accrued Indirect Labor Cost,Accrued Freight Out Cost,Accrued Credit Card Processing Fee,Accrued Others Cost,Shipments Total Actual Carrier Cost,Orders Total Shipping Carrier Fees
SEM PMKW - August 2019,bing,cpc,12866867,673671,2022-04-13,5139,5139-01,1878900,Yes,93.59,yahoo.com,Boston Baked Beans,Nuts,Nuts,Peanuts,"old time candy,brown candy,candied","old time candy,candied,nuts,chocolates & sweets",Yes,Small 1 Pound Bag,bing,4.99,Nuts,Huntersville,NC,US,6.99,6.99,6.99,2020-05-12,2020-05-12 14:35:12,2022-04-13 10:14:06,No,0,,1,1,S,No,0,No,0,2,13.98,92.851034,0,4.99,0,0.12,0,0.618966,0,0,0,0,0,0,0,0,9.82
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12866938,727570,2022-04-13,9306,9306-01,436463,Yes,31.45,yahoo.com,Gummy Ice Cream Cones,Chocolates & Sweets,Chocolates & Sweets,Gummy Novelty,sweet,sweet,Yes,Small 1 Pound Bag,Iterable,8.99,"Baking,Chocolates & Sweets,Snacks",Helotes,TX,US,5.99,5.99,5.99,,,2022-04-13 10:25:12,No,0,,1,1,S,No,-2.5,No,0,1,5.99,30.771034,0,8.99,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,21.82
(not set),,(none),12867254,133303,2022-04-13,1505,1505-01,58364,Yes,164.87,gmail.com,Organic Dried Cranberries,Dried Fruit,Dried Fruit,Cranberries,"superfoods,certified gluten-free,kosher,gluten-free,no sulphur dioxide,kosher pareve,organic","superfoods,certified gluten-free,kosher,baking,gluten-free,no sulphur dioxide,dried fruit,kosher pareve,organic",Yes,Medium 1 Pound Bag,(direct),0,"Dried Fruit,Powders,Seeds,Snacks",Birmingham,AL,US,10.99,10.99,10.99,2020-11-15,2020-11-15 16:25:52,2022-04-13 11:11:34,No,0,,1,1,M,No,0,No,0,1,10.99,164.171034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,9.82
(not set),,(none),12867241,385883,2022-04-13,2508,2508-01,1334133,Yes,18.98,bellsouth.net,Bitty Bar Variety Pack,Snacks,Snacks,Energy Squares and Bars,"gluten-free,kosher pareve,sweet,kosher","nuts,gluten-free,kosher pareve,snacks,sweet,kosher",Yes,Medium 1 Pound Bag,(direct),8.99,Snacks,Fleming Island,FL,US,9.99,9.99,9.99,2020-09-20,2020-09-20 00:30:30,2022-04-13 11:09:57,No,0,,0.58,0.58,M,No,0,No,0,1,9.99,17.695668,0,8.99,0,0.0464,0,1.237932,0,0,0,0,0,0,0,0,9.82
(not set),,(none),12866329,1050038,2022-04-13,4008,4008-01,973047,Yes,64.95,yahoo.com,Roasted Pecans (Unsalted),Nuts,Nuts,Pecans,"roasted,gluten-free,kosher pareve,keto,kosher,salt-free,certified gluten-free","oil roasted,roasted,gluten-free,brewing,kosher pareve,paleo,vegan,keto,kosher,out of shell,whole 30,nuts and seeds,nuts,unsalted,salt-free,certified gluten-free",Yes,Medium 1 Pound Bag,(direct),0,"Nuts,Snacks",Earleville,MD,US,15.99,15.99,15.99,2016-08-05,2016-08-05 17:56:19,2022-04-13 07:21:01,No,0,,1,1,M,No,0,No,0,1,15.99,64.560517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,0
,,,12865990,1258913,2022-04-13,2783,2787-05,2307536,Yes,69.07,gmail.com,Ethiopian Coffee,Coffees & Teas,"Coffees, Teas, & Drinks",Coffees,african,"light roast,african,premium coffee",Yes,,,0,Coffees & Teas,Brooklyn,NY,US,74.95,69.07,72.7,2020-08-15,2020-08-15 15:12:33,2022-04-13 05:02:31,No,-3.63,,5,5,,No,0,No,0,1,69.07,67.83206799999999,0,0,0,0,0,1.237932,0,0,0,0,0,0,0,0,5.08
,,,12866224,1173730,2022-04-13,8141,8141-01,2155639,Yes,63.6,gmail.com,Rosemary Garlic Pistachios & Almonds,Nuts,Nuts,Pistachios,"salty,sprouted,gluten-free,seasoned,garlic (flavor)","salty,sprouted,gluten-free,nuts,seasoned,garlic (flavor),nuts and seeds",Yes,Small 1 Pound Bag,,0,"Dried Fruit,Nuts",Winthrop,WA,US,9.99,9.49,9.99,2017-06-25,2017-06-25 18:35:15,2022-04-13 05:06:07,No,-0.5,,0.5,0.5,S,No,0,No,0,1,9.49,62.951034,0,0,0,0.03,0,0.618966,0,0,0,0,0,0,0,0,0
,,,12866245,,2022-04-13,7135,7135-01,553095,No,161.78,gmail.com,Ground Golden Flax,Seeds,Cooking,Flax Seed,"salt-free,gluten-free,kosher,kosher pareve","salt-free,baking,gluten-free,cooking,kosher,kosher pareve",Yes,Medium 1 Pound Bag,,0,"Snacks,Nuts,Seeds",Lincoln,RI,US,5.99,5.99,5.99,2015-03-30,2015-03-30 13:37:07,2022-04-13 05:35:42,No,0,,1,1,M,No,0,No,0,2,11.98,160.382068,0,0,0,0.16,0,1.237932,0,0,0,0,0,0,0,0,8.12
(not set),,(none),12867697,1187973,2022-04-13,1013,1013-05,1085994,Yes,1474.8,billiesgrocery.com,Dried Blueberries,Dried Fruit,Dried Fruit,Blueberries,"certified gluten-free,gluten-free,kosher pareve,no sulphur dioxide,kosher","certified gluten-free,gluten-free,dried fruit,kosher pareve,baking,no sulphur dioxide,kosher,best sellers",Yes,White 5 Pound Bag,(direct),0,"Dried Fruit,Nuts",Kansas City,MO,US,59.95,56.95,56.95,2016-11-08,2016-11-08 09:22:51,2022-04-13 12:02:24,No,0,,5,5,W,No,0,No,0,2,113.9,1471.9241349999998,0,0,0,0.4,0,2.475865,0,0,0,0,0,0,0,0,61.84
(not set),,(none),12866246,,2022-04-13,5451,5451-01,230538,No,205.76,kent.edu,S'mores Snack Mix,Snacks,Snacks,Trail Mix,,"snacks,chocolates & sweets",Yes,Large 1 Pound Bag,(direct),0,"Snacks,Cooking,Nuts,Chocolates & Sweets",,,,9.99,9.99,9.99,2020-11-27,2020-11-27 22:29:39,2022-04-13 05:35:57,No,0,,1,1,L,Yes,0,Yes,0,1,9.99,205.021034,0,0,0,0.12,0,0.618966,0,0,0,0,0,0,0,0,7.67
(not set),,(none),12867595,460480,2022-04-13,3028,3028-05,248023,Yes,257.03,gmail.com,Organic Quinoa,Cooking,Cooking,Quinoa,"seeds,gluten-free,kosher pareve,kosher,grains,superfoods,organic","sprouting,seeds,gluten-free,kosher pareve,kosher,grains,superfoods,organic,natural,baking,cooking",Yes,White 5 Pound Bag,(direct),0,"Coffees & Teas,Dried Fruit,Cooking,Nuts,Chocolates & Sweets,Snacks",,,,24.95,24.2,24.2,2020-12-16,2020-12-16 18:38:28,2022-04-13 11:49:24,No,0,,5,5,W,No,0,No,0,1,24.2,255.59206799999998,0,0,0,0.2,0,1.237932,0,0,0,0,0,0,0,0,7.83
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867162,1170000,2022-04-13,5326,5326-01,1149693,Yes,67.91,gmail.com,Cinnamon Honey Pretzel Grahams,Chocolates & Sweets,Chocolates & Sweets,Pretzels,"sweet,honey (flavor),pretzels,kosher,kosher pareve","sweet,snacks,honey (flavor),kosher,kosher pareve",Yes,Large Black Bag,Iterable,0,"Nuts,Chocolates & Sweets,Snacks",,,,7.99,7.99,7.99,2017-01-12,2017-01-12 14:44:34,2022-04-13 10:57:50,No,0,,1,1,LB,No,0,No,0,1,7.99,67.151034,0,0,0,0.14,0,0.618966,0,0,0,0,0,0,0,0,5.08
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867515,1779462,2022-04-13,4027,4027-01,3348598,Yes,72.95,hotmail.com,Roasted Macadamia Nuts (Salted),Nuts,Nuts,Macadamia Nuts,"kosher pareve,kosher,certified gluten-free,keto,gluten-free,salted,luau theme,roasted","kosher pareve,kosher,out of shell,paleo,certified gluten-free,nuts and seeds,oil roasted,vegan,keto,gluten-free,best sellers,salted,luau theme,roasted,snacks,whole 30",Yes,Medium 1 Pound Bag,Iterable,0,"Dried Fruit,Nuts,Chocolates & Sweets",Granite Falls,WA,US,22.99,22.99,22.99,2020-07-29,2020-07-29 13:53:25,2022-04-13 11:41:47,No,0,,1,1,M,No,0,No,0,1,22.99,72.560517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,12.65
(not set),,(none),12866661,2063460,2022-04-13,4203,4203-05,2450678,Yes,67.85,windstream.net,Dry Roasted Cashews (Salted),Nuts,Nuts,Cashews,"salted,kosher pareve,kosher,gluten-free,toasted,dry roasted,roasted","cooking,out of shell,salted,kosher pareve,kosher,whole 30,gluten-free,toasted,nuts and seeds,nuts,dry roasted,roasted",Yes,White 5 Pound Bag,(direct),0,Nuts,Hilliard,FL,US,69.95,67.85,67.85,2018-10-11,2018-10-11 07:08:18,2022-04-13 09:25:28,No,0,,5,5,W,No,0,No,0,1,67.85,66.41206799999999,0,0,0,0.2,0,1.237932,0,0,0,0,0,0,0,0,8.14
(not set),,(none),12866566,1660474,2022-04-13,1115,1115-01,3015162,Yes,80.91,yahoo.com,Jumbo Thompson Seedless Raisins,Dried Fruit,Dried Fruit,Raisins,"gluten-free,no sugar added,no sulphur dioxide,kosher pareve,kosher,certified gluten-free","natural,dried fruit,gluten-free,paleo,baking,no sugar added,no sulphur dioxide,kosher pareve,kosher,certified gluten-free",Yes,Medium 1 Pound Bag,(direct),0,"Dried Fruit,Nuts,Snacks",Portland,ME,US,5.99,5.99,5.99,2020-04-22,2020-04-22 18:09:50,2022-04-13 08:59:39,No,0,,1,1,M,No,0,No,0,3,17.97,78.813102,0,0,0,0.24,0,1.856898,0,0,0,0,0,0,0,0,9.82
(not set),,(none),12867377,944908,2022-04-13,2580,2580-01,750361,Yes,63.93,hotmail.com,Organic Sprouted Brown Rice,Cooking,Cooking,Rice,"kosher pareve,sprouted,organic,grains,gluten-free,kosher","kosher pareve,sprouted,organic,grains,cooking,baking,gluten-free,kosher",Yes,Small 1 Pound Bag,(direct),0,"Dried Fruit,Cooking,Nuts",,,,5.99,5.99,5.99,2015-12-05,2015-12-05 22:29:15,2022-04-13 11:26:17,No,0,,1,1,S,No,0,No,0,1,5.99,63.560517,0,0,0,0.06,0,0.309483,0,0,0,0,0,0,0,0,5.29
(not set),,(none),12865628,,2022-04-13,8006,8006-05,742757,No,137.14,roadrunner.com,Southern Heat Mix,Snacks,Snacks,Trail Mix,"salted,spicy,salty,hot & spicy","oil roasted,salted,cocktail hour snacks,spicy,out of shell,salty,snacks,hot & spicy",Yes,Brown 5 Pound Bag,(direct),0,"Nuts,Snacks,Gifts",,,,34.95,33.9,33.9,2015-12-01,2015-12-01 05:36:33,2022-04-13 00:30:37,No,0,,5,5,B,Yes,0,No,0,1,26,135.702068,0,0,7.9,0.2,0,1.237932,0,0,0,0,0,0,0,0,14.17
2022-04-13-April-Monthly-Gifting_DTC_1,,email,12867498,1009965,2022-04-13,8129,8129-01,886252,Yes,126.91,icloud.com,Save the Forest Granola,Snacks,Snacks,Granola & Muesli,granola,"granola,cooking,snacks",Yes,Medium 1 Pound Bag,Iterable,0,"Coffees & Teas,Nuts,Chocolates & Sweets,Cooking,Snacks",Storrs Mansfield,CT,US,7.99,7.99,7.99,2016-04-16,2016-04-16 13:06:20,2022-04-13 11:39:41,No,0,,1,1,M,No,0,No,0,1,7.99,126.211034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,5.08
SEM Branded,bing,cpc,12865658,1275345,2022-04-13,5465,5465-01,2278417,Yes,107.9,gmail.com,Starburst Fruit Chews,Chocolates & Sweets,Chocolates & Sweets,Old Time Candy,"gluten-free,old time candy,taffy,sweet,fruity","assorted (flavor),chocolates & sweets,gluten-free,old time candy,wrapped,taffy,sweet,fruity",Yes,Small 1 Pound Bag,bing,0,"Snacks,Nuts,Chocolates & Sweets",Washington,DC,US,6.99,6.99,6.99,2018-01-07,2018-01-07 15:13:30,2022-04-13 00:46:07,No,0,,1,1,S,No,0,No,0,1,6.99,107.221034,0,0,0,0.06,0,0.618966,0,0,0,0,0,0,0,0,5.29
(not set),,(none),12867023,499128,2022-04-13,7557,7557-01,268677,Yes,117.91,socal.rr.com,Organic Cacao Paste,Baking,Nuts,Cacao,"nut paste,kosher,kosher pareve,gluten-free,certified gluten-free,cacao,organic","vegan,nut paste,kosher,baking,kosher pareve,gluten-free,certified gluten-free,cacao,organic,nuts",Yes,Medium 1 Pound Bag,(direct),0,"Dried Fruit,Nuts,Baking",Orange,CA,US,13.99,13.99,13.99,,,2022-04-13 10:37:15,No,0,,1,1,M,No,0,Yes,0,2,27.98,116.512068,0,0,0,0.16,0,1.237932,0,0,0,0,0,0,0,0,11.09
(not set),,(none),12867362,586049,2022-04-13,7118,7118-01,322485,Yes,64.94,rushmore.com,Ground Ginger,Cooking,Cooking,Spices,"kosher pareve,kosher,powders","kosher pareve,kosher,cooking,powders,brewing",Yes,Medium 1 Pound Bag,(direct),0,"Nuts,Cooking",Belle Fourche,SD,US,9.99,9.99,9.99,,,2022-04-13 11:24:16,No,0,,1,1,M,No,0,No,0,1,9.99,64.241034,0,0,0,0.08,0,0.618966,0,0,0,0,0,0,0,0,11.5
2022-04-13-Easter-Gifts-10-Off_DTC_1,,email,12867303,1159732,2022-04-13,2498,2498-01,2131346,Yes,73.98,gmail.com,Gluten-Free Snack Tray,Gifts,Gifts,Gift Baskets,"sweet,fruity,certified gluten-free,trays,salty,nutty,gluten-free","sweet,snacks,fruity,congratulations,certified gluten-free,gifts,trays,salty,fruity gifts,nutty,nuts,gluten-free,premium",Yes,,Iterable,3.99,Gifts,Ellensburg,WA,US,69.99,69.99,69.99,2017-05-11,2017-05-11 14:05:17,2022-04-13 11:17:38,No,0,,3.4,3.4,,Yes,0,No,0,1,69.99,68.409304,0,3.99,0,0,0,5.570696,0,0,0,0,0,0,0,0,8.62
(not set),,(none),12865764,,2022-04-13,3009,3009-01,1174463,No,80.92,gmail.com,Raw Cashews,Nuts,Nuts,Cashews,"certified gluten-free,raw,kosher pareve,gluten-free,kosher,salt-free","certified gluten-free,natural,sprouting,raw,nuts,vegan,kosher pareve,gluten-free,kosher,baking,out of shell,salt-free,nuts and seeds,paleo",Yes,Medium 1 Pound Bag,(direct),0,"Dried Fruit,Nuts,Seeds",Redwood City,CA,US,12.99,12.99,12.99,2021-03-05,2021-03-05 14:14:13,2022-04-13 02:03:13,No,0,,1,1,M,No,0,No,0,1,12.99,80.530517,0,0,0,0.08,0,0.309483,0,0,0,0,0,0,0,0,6.22
,,,12867146,195362,2022-04-13,2585,2585-01,228858,Yes,119.85,gmail.com,Organic Sprouted Millet,Cooking,Cooking,Millet,"kosher,sprouted,gluten-free,kosher pareve,grains,organic","kosher,sprouted,gluten-free,cooking,kosher pareve,grains,organic,baking",Yes,Small 1 Pound Bag,,0,"Nuts,Snacks,Cooking,Gifts,Chocolates & Sweets",Neptune,NJ,US,5.99,5.99,5.99,2020-04-05,2020-04-05 15:10:40,2022-04-13 10:55:07,No,0,,1,1,S,Yes,0,No,0,2,11.98,118.49206799999999,0,0,0,0.12,0,1.237932,0,0,0,0,0,0,0,0,6.24
(not set),,(none),12866856,959929,2022-04-13,8534,8534-01,659057,Yes,101.44,comcast.net,Large Mixed Nut Sampler,Gifts,Gifts,Gift & Party Trays,"sweet,salty,nutty,chocolate,trays","sweet,salty,best sellers,sympathy,birthday,nuts,chocolate gifts,nutty,chocolate,gifts,trays,thank you",Yes,White 5 Pound Bag,(direct),0,"Dried Fruit,Nuts,Cooking,Gifts",,,,39.99,39.99,39.99,2015-09-02,2015-09-02 09:46:30,2022-04-13 10:13:01,No,0,,3,2,W,Yes,0,Yes,0,1,39.99,98.884135,0,0,0,0.08,0,2.475865,0,0,0,0,0,0,0,0,5.08
RLSA GSN - All Products (Converters),google,cpc,12866839,553361,2022-04-13,1512,1512-01,300877,Yes,116.91,yahoo.com,Organic Raisins,Dried Fruit,Dried Fruit,Raisins,"gluten-free,certified gluten-free,kosher pareve,no sugar added,kosher,organic,no sulphur dioxide","gluten-free,certified gluten-free,dried fruit,kosher pareve,natural,no sugar added,kosher,snacks,organic,paleo,best sellers,whole 30,cooking,no sulphur dioxide,baking",Yes,Medium 1 Pound Bag,google,0,"Dried Fruit,Nuts",Brooklyn,NY,US,6.99,6.99,6.99,2021-11-12,2021-11-12 15:52:10,2022-04-13 10:09:26,No,0,,1,1,M,No,0,No,0,2,13.98,115.512068,0,0,0,0.16,0,1.237932,0,0,0,0,0,0,0,0,5.08
